texts;labels
"УТВЕРЖДАЮ

____________________

ИНСТРУКЦИЯ ДОЛЖНОСТНАЯ

секретаря учебного офиса факультета компьютерных наук

I. Общие положения

Секретарь обеспечивает документационное сопровождение деятельности офиса.

II. Функции

1. Прием телефонных обращений.

2. Регистрация служебных записок.

3. Подготовка копий документов.

4. Сканирование и отправка материалов.

5. Ведение календаря встреч начальника офиса.

6. Учет выданных справок.

III. Права

Использовать оргтехнику, получать служебную информацию в пределах компетенции.

IV. Ответственность

За несохранность документов и нарушение правил делопроизводства.";8.2.2.1.1-02
"Национальный исследовательский университет ""Высшая школа экономики""

ДОЛЖНОСТНАЯ ИНСТРУКЦИЯ

специалиста по расписанию учебного офиса

1. Общие положения

Работник отвечает за сопровождение процессов составления расписания занятий и экзаменов.

2. Должен знать

- учебные планы;
- календарный график;
- правила бронирования аудиторий;
- офисные программы.

3. Обязанности

3.1 Собирать заявки кафедр.

3.2 Формировать проекты расписания.

3.3 Учитывать занятость аудиторного фонда.

3.4 Публиковать утвержденное расписание.

3.5 Оперативно вносить изменения.

4. Права

Запрашивать сведения у кафедр, пользоваться корпоративными сервисами.

5. Ответственность

За ошибки в расписании и несвоевременное обновление данных.";8.2.2.1.1-02
"Приложение к трудовому договору

Должностная инструкция
специалиста по итоговой аттестации учебного офиса

I. Общие положения

Специалист сопровождает процедуры защиты ВКР и выпускных документов.

II. Обязанности

- сбор тем ВКР;
- оформление приказов о допуске;
- подготовка графиков защит;
- взаимодействие с комиссиями;
- учет результатов защит;
- подготовка данных для дипломов.

III. Права

Получать необходимые сведения от кафедр и руководителей программ.

IV. Ответственность

За нарушения сроков оформления материалов ГИА.";8.2.2.1.1-02
"УТВЕРЖДАЮ
______________

ДОЛЖНОСТНАЯ ИНСТРУКЦИЯ

специалиста учебного офиса (документооборот)

1. Назначение должности

Обеспечение движения документов по вопросам студентов.

2. Основные обязанности

2.1 Регистрация входящих документов.

2.2 Передача материалов исполнителям.

2.3 Контроль возврата подписанных документов.

2.4 Подшивка дел.

2.5 Подготовка описи для архива.

2.6 Проверка правильности оформления заявлений.

3. Права

Получать документы от подразделений, требовать соблюдения форм.

4. Ответственность

За утерю материалов, несоблюдение сроков регистрации.";8.2.2.1.1-02
"Федеральное государственное автономное образовательное учреждение высшего образования
«НИУ ВШЭ» (Пермский филиал)

УТВЕРЖДАЮ

ДОЛЖНОСТНАЯ ИНСТРУКЦИЯ

специалиста учебного офиса (сектор документооборота / первичная обработка)

1. Общие положения (смешанный регламент)

1.1. Должность относится к административно-операционному персоналу учебного офиса.
1.2. Работник осуществляет обработку документов в бумажной и электронной форме (СЭД / LMS / локальные таблицы).
1.3. Возможны “переходные режимы обработки” в периоды пиковой нагрузки.

2. Функции (основной контур + вспомогательные действия)
регистрация входящих заявлений студентов;
первичная проверка комплектности документов;
маршрутизация документов по исполнителям;
внесение отметок в журналы регистрации (бумажные/электронные);
контроль сроков исполнения (условный SLA факультета);
архивирование завершённых дел.

(дополнительно: временное дублирование записей при сбое системы допускается)

3. Права сотрудника

Сотрудник вправе:

запрашивать уточняющие сведения у студентов и подразделений;
приостанавливать обработку документа при выявлении ошибок;
использовать шаблоны и “типовые формы факультета (ред. 2024–2026)”.
4. Ответственность (расширенная формулировка)

Ответственность наступает за:

утрату или некорректную маршрутизацию документов;
нарушение сроков регистрации;
расхождение бумажной и электронной версий данных;
несанкционированное изменение регистрационных записей.

Подпись: ____________ /____________/";8.2.2.1.1-02
"НИУ ВШЭ – Пермь
Факультет СЭКН

ДОЛЖНОСТНАЯ ИНСТРУКЦИЯ

(проектная версия / рабочий регламент)

Специалист учебного офиса: документооборот и сопровождение заявлений

I. Статус должности

Должность является частью “сквозного процесса обработки студенческих обращений”.

Формально подчиняется начальнику учебного офиса, функционально — регламентам СЭД и учебных систем.

II. Зоны ответственности
входящие документы (заявления, справки, запросы);
исходящие документы (ответы, справки, подтверждения);
внутренние служебные записи;
архивирование.
III. Операционные задачи (в циклическом виде)

Цикл 1 — регистрация

фиксация документа;
присвоение номера (код УО/СЭКН/…);

Цикл 2 — обработка

проверка полноты;
перенаправление исполнителю;

Цикл 3 — закрытие

отметка исполнения;
архивирование / сканирование.
IV. Дополнительные функции (вариативные)
участие в сверке реестров студентов;
поддержка актуальности шаблонов документов;
работа с “обратными уточнениями” от студентов;
временная замена коллег при нагрузке.
V. Права
доступ к системам учета;
использование типовых форм без согласования;
инициирование возврата документа на доработку.
VI. Ответственность (расширенный блок)

Сотрудник несет ответственность за:

логическую целостность документооборота;
корректность регистрационных данных;
соблюдение регламентов хранения.

Подпись: ____________ /____________/";8.2.2.1.1-02
"Федеральное ГАОУ ВО
«Национальный исследовательский университет «Высшая школа экономики» (Пермь)

УТВЕРЖДАЮ

(подпись / дата / без расшифровки в исходной версии)

ДОЛЖНОСТНАЯ ИНСТРУКЦИЯ

специалиста УО — документооборот (оператор регистрационных процессов)

0. Вводный статус

Документ носит регламентно-операционный характер.
Применяется в условиях смешанного бумажно-электронного документооборота.

1. Общий функционал

Сотрудник осуществляет:

приём документов (входящий поток);
фиксацию в регистрационных системах;
первичную сортировку;
передачу в исполнение;
возврат на доработку (при необходимости).
2. Процессная модель (условная)

Фаза A: Intake
→ получение документов
→ проверка минимального набора

Фаза B: Routing
→ назначение исполнителя
→ отметка в журнале

Фаза C: Closure
→ завершение обработки
→ архив / скан / подшивка

(допускаются пересечения фаз при высокой нагрузке системы)

3. Дополнительные обязанности (нефиксированные)
ведение дублирующих таблиц учёта;
сверка данных между системами;
участие в “экстренной обработке” обращений студентов;
корректировка шаблонов при обновлении регламентов.
4. Права (операционные)

Сотрудник имеет право:

требовать исправления некорректных документов;
использовать альтернативные формы регистрации;
приостанавливать обработку при технических сбоях;
обращаться в IT-поддержку системы.
5. Ответственность (расширенный режим)

Ответственность включает:

несоответствие записей в системах учета;
нарушение маршрута документа;
потерю регистрационного следа;
несоблюдение сроков обработки.
6. Примечание (служебное)

Документ может корректироваться без изменения структуры должности в случае обновления регламентов университета.

Подпись сотрудника: ____________
Согласование: ____________
(формат подписи допускает вариативность)";8.2.2.1.1-02
ДОЛЖНОСТНАЯ ИНСТРУКЦИЯ специалиста учебного офиса факультета компьютерных наук утверждается в установленном порядке. Документ определяет права, обязанности и ответственность сотрудника. Специалист относится к категории специалистов и подчиняется начальнику учебного офиса. В задачи входит ведение учета студентов, оформление документов, сопровождение учебного процесса, работа с заявлениями и информационными системами университета. Ответственность включает соблюдение сроков, корректность данных и защиту персональной информации.;8.2.2.1.1-02
Настоящая должностная инструкция регламентирует деятельность специалиста учебного офиса факультета компьютерных наук. Назначение осуществляется приказом ректора. Сотрудник выполняет функции по обработке заявлений студентов, ведению баз данных, подготовке приказов, сопровождению аттестации и взаимодействию с подразделениями университета.;8.2.2.1.1-02
Специалист учебного офиса относится к административному персоналу факультета. Должностная инструкция определяет его обязанности: прием студентов, оформление справок, ведение документации, сопровождение учебного процесса, работа с электронными системами и контроль корректности данных.;8.2.2.1.1-02
Документ устанавливает обязанности специалиста учебного офиса факультета компьютерных наук. Работник обеспечивает сопровождение студентов, обработку заявлений, формирование приказов, ведение учета обучающихся и взаимодействие с другими подразделениями университета. Подчинение осуществляется начальнику учебного офиса.;8.2.2.1.1-02
ДОЛЖНОСТНАЯ ИНСТРУКЦИЯ специалиста учебного офиса определяет порядок работы сотрудника, ответственного за ведение документации и сопровождение образовательного процесса. В обязанности входит учет студентов, оформление справок, работа с ведомостями, сопровождение экзаменов и взаимодействие с деканатом.;8.2.2.1.1-02
Специалист учебного офиса выполняет административные функции по сопровождению учебного процесса. Инструкция закрепляет обязанности по регистрации заявлений, ведению баз данных, подготовке документов, сопровождению аттестации и консультированию студентов.;8.2.2.1.1-02
Настоящий документ регулирует деятельность специалиста учебного офиса факультета компьютерных наук. Сотрудник осуществляет обработку документов студентов, ведение учета контингента, подготовку приказов, работу с информационными системами и взаимодействие с кафедрами и деканатом.;8.2.2.1.1-02
Должностная инструкция определяет функции специалиста учебного офиса. Работник отвечает за ведение учебной документации, сопровождение студентов, подготовку справок, обработку заявлений и контроль корректности внесенных данных в информационные системы университета.;8.2.2.1.1-02
Специалист учебного офиса факультета компьютерных наук выполняет обязанности по организационному сопровождению образовательного процесса. Включает прием студентов, оформление документов, ведение учета, работу с приказами и сопровождение аттестации.;8.2.2.1.1-02
Документ устанавливает должностные обязанности специалиста учебного офиса. В их число входит работа с заявлениями студентов, ведение баз данных, подготовка приказов, сопровождение экзаменационных процедур и взаимодействие с подразделениями университета.;8.2.2.1.1-02
ДОЛЖНОСТНАЯ ИНСТРУКЦИЯ специалиста учебного офиса факультета компьютерных наук определяет трудовые функции сотрудника. Основные задачи: обработка документов, учет студентов, сопровождение учебного процесса, ведение отчетности и работа с информационными системами.;8.2.2.1.1-02
Специалист учебного офиса осуществляет административное сопровождение студентов и учебного процесса. Инструкция включает обязанности по оформлению справок, ведению учета, обработке заявлений и подготовке документов по движению контингента.;8.2.2.1.1-02
Настоящая должностная инструкция определяет функции специалиста учебного офиса факультета компьютерных наук. Работник ведет учет студентов, оформляет документы, сопровождает учебный процесс, взаимодействует с кафедрами и обеспечивает корректность данных.;8.2.2.1.1-02
Документ регламентирует деятельность специалиста учебного офиса. В обязанности входит прием заявлений студентов, ведение документации, сопровождение аттестации, работа с расписанием и взаимодействие с административными подразделениями университета.;8.2.2.1.1-02
Специалист учебного офиса выполняет функции по сопровождению образовательного процесса факультета компьютерных наук. Инструкция включает ведение учета студентов, подготовку приказов, обработку документов и работу с информационными системами.;8.2.2.1.1-02
ДОЛЖНОСТНАЯ ИНСТРУКЦИЯ определяет порядок работы специалиста учебного офиса. Работник обеспечивает документооборот, ведение баз данных студентов, оформление справок, сопровождение экзаменов и взаимодействие с деканатом.;8.2.2.1.1-02
Специалист учебного офиса отвечает за административное сопровождение студентов факультета компьютерных наук. В обязанности входит обработка заявлений, ведение учета, подготовка документов и сопровождение учебных процессов.;8.2.2.1.1-02
Настоящая инструкция регламентирует деятельность специалиста учебного офиса. Сотрудник выполняет функции по ведению учета студентов, подготовке приказов, оформлению документов и сопровождению образовательного процесса.;8.2.2.1.1-02
Документ определяет обязанности специалиста учебного офиса факультета компьютерных наук. Работник занимается регистрацией заявлений, ведением баз данных, подготовкой отчетности и сопровождением учебного процесса.;8.2.2.1.1-02
ДОЛЖНОСТНАЯ ИНСТРУКЦИЯ специалиста учебного офиса устанавливает его трудовые функции. В обязанности входит работа с документами студентов, ведение учета, сопровождение аттестации и взаимодействие с подразделениями университета.;8.2.2.1.1-02
Специалист учебного офиса осуществляет сопровождение образовательного процесса факультета компьютерных наук. Инструкция закрепляет функции по обработке документов, ведению учета студентов, подготовке приказов и работе с информационными системами.;8.2.2.1.1-02
"ПРОТОКОЛ № 01
заседания ЛЭК по защите выпускных квалификационных работ
ОПБ «Бизнес-информатика»

Федеральное государственное автономное образовательное учреждение высшего образования
«Национальный исследовательский университет «Высшая школа экономики»
Пермский кампус

«15» июня 2026 г.
г. Пермь

Присутствовали:
Председатель ЛЭК: Иванов И.И., академический руководитель образовательной программы.
Члены комиссии: Петрова А.С., Сидоров В.Н., Кузнецов Е.П.
Секретарь комиссии: Смирнова Т.А.

СЛУШАЛИ:
студента 4 курса направления подготовки 38.03.05 Бизнес-информатика
Фамилия Имя Отчество

Тема ВКР:
«Разработка системы аналитики клиентских данных для цифровой платформы»

Руководитель ВКР: доцент кафедры информационных технологий Орлова Е.В.

После доклада студенту были заданы вопросы по методологии исследования, архитектуре системы и экономическому обоснованию проекта.

Комиссией отмечено:
работа выполнена на актуальную тему, содержит практические результаты.
Требуется доработка раздела оценки эффективности внедрения и уточнение выводов.

ПОСТАНОВИЛИ:

Признать выпускную квалификационную работу соответствующей требованиям образовательной программы.
Рекомендовать обучающемуся устранить замечания комиссии.
Допустить студента к итоговой защите ВКР в ГЭК.
Предварительная оценка уровня подготовки – хорошая.

Председатель ЛЭК __________ /Иванов И.И./
Секретарь ЛЭК __________ /Смирнова Т.А./";8.2.2.1.1-03
"Протокол № 02
заседания ЛЭК по защите выпускных квалификационных работ
ОПБ «Бизнес-информатика»

Федеральное государственное автономное образовательное учреждение высшего образования
«Национальный исследовательский университет «Высшая школа экономики»
Пермский кампус

«16» июня 2026 г.
г. Пермь

Присутствовали:
Председатель ЛЭК: Иванов И.И., академический руководитель образовательной программы.
Члены комиссии: Петрова А.С., Сидоров В.Н., Кузнецов Е.П.
Секретарь комиссии: Смирнова Т.А.

СЛУШАЛИ:
студента 4 курса направления подготовки 38.03.05 Бизнес-информатика
Соколов Дмитрий Алексеевич

Тема ВКР:
«Автоматизация процесса формирования отчётности в системе 1С:Предприятие для малого бизнеса»

Руководитель ВКР: профессор кафедры информационных технологий Морозов А.И.

После доклада студенту были заданы вопросы по выбору конфигурации 1С, объёму тестирования и перспективам интеграции с облачными сервисами.

Комиссией отмечено:
работа имеет практическую ценность, но отсутствует сравнительный анализ альтернативных программных продуктов. Требуется дополнить раздел технико-экономического обоснования.

ПОСТАНОВИЛИ:

Признать выпускную квалификационную работу соответствующей требованиям образовательной программы.
Рекомендовать обучающемуся устранить замечания комиссии.
Допустить студента к итоговой защите ВКР в ГЭК.
Предварительная оценка уровня подготовки – хорошая.

Председатель ЛЭК __________ /Иванов И.И./
Секретарь ЛЭК __________ /Смирнова Т.А./";8.2.2.1.1-03
"Протокол № 03
заседания ЛЭК по защите выпускных квалификационных работ
ОПБ «Бизнес-информатика»

Федеральное государственное автономное образовательное учреждение высшего образования
«Национальный исследовательский университет «Высшая школа экономики»
Пермский кампус

«17» июня 2026 г.
г. Пермь

Присутствовали:
Председатель ЛЭК: Иванов И.И., академический руководитель образовательной программы.
Члены комиссии: Петрова А.С., Сидоров В.Н., Кузнецов Е.П.
Секретарь комиссии: Смирнова Т.А.

СЛУШАЛИ:
студентку 4 курса направления подготовки 38.03.05 Бизнес-информатика
Кузнецова Елена Андреевна

Тема ВКР:
«Разработка дашборда для мониторинга ключевых показателей эффективности интернет-магазина»

Руководитель ВКР: доцент кафедры бизнес-аналитики Волкова О.П.

После доклада студентке были заданы вопросы по источникам данных, частоте обновления дашборда и методам визуализации.

Комиссией отмечено:
проект выполнен качественно, но недостаточно проработан раздел по обеспечению безопасности данных. Рекомендовано добавить рекомендации по разграничению прав доступа.

ПОСТАНОВИЛИ:

Признать выпускную квалификационную работу соответствующей требованиям образовательной программы.
Рекомендовать обучающемуся устранить замечания комиссии.
Допустить студента к итоговой защите ВКР в ГЭК.
Предварительная оценка уровня подготовки – отлично.

Председатель ЛЭК __________ /Иванов И.И./
Секретарь ЛЭК __________ /Смирнова Т.А./";8.2.2.1.1-03
"ПРОТОКОЛ № 04
заседания ЛЭК по рассмотрению выпускных квалификационных работ
ОПБ «Бизнес-информатика»

Национальный исследовательский университет ""Высшая школа экономики""
Пермский кампус

«17» июня 2026 г.  
г. Пермь

Присутствовали:

Председатель ЛЭК – Иванов И.И.  
Члены комиссии: Петрова А.С., Николаев Д.В., Сидоров В.Н.  
Секретарь: Смирнова Т.А.

СЛУШАЛИ:

обучающегося 4 курса направления 38.03.05 Бизнес-информатика  
Фамилия Имя Отчество

Тема работы:

«Проектирование системы мониторинга показателей продаж для торговой компании»

Руководитель: доцент Орлова Е.В.

После сообщения студенту заданы вопросы по выбору KPI, структуре базы данных и возможностям интеграции с CRM.

Комиссией отмечено:

тема является актуальной, работа содержит практико-ориентированные предложения.  
Следует уточнить раздел расчета экономического эффекта и дополнить список источников.

ПОСТАНОВИЛИ:

1. Считать концепцию ВКР соответствующей установленным требованиям.  
2. Рекомендовать устранить замечания до основной защиты.  
3. Допустить обучающегося к защите в ГЭК.  
4. Предварительная оценка — хорошо.

Председатель ЛЭК _________ /Иванов И.И./  
Секретарь _________ /Смирнова Т.А./";8.2.2.1.1-03
"П Р О Т О К О Л № 06

заседания локальной экзаменационной комиссии  
по предзащите ВКР  
ОПБ «Бизнес-информатика»

НИУ ВШЭ – Пермь

15 июня 2026 года

Присутствовали:  
председатель комиссии Иванов И.И.  
члены: Кузнецов Е.П., Петрова А.С., Сергеева Л.Н.  
секретарь: Т.А. Смирнова

Слушали студента группы БИ-22-1

Тема ВКР:  
«Разработка BI-панели управления закупочной деятельностью предприятия»

Научный руководитель – Орлова Е.В.

Вопросы комиссии:

1. Какие источники данных используются?  
2. Чем подтверждается экономическая целесообразность?  
3. Почему выбран данный стек технологий?

Замечания:

не в полном объеме раскрыт раздел рисков проекта;  
требуется скорректировать выводы по главе 2.

РЕШИЛИ:

допустить к итоговой защите после доработки текста работы.  
Уровень готовности признать достаточным.  
Рекомендовать представить обновленную версию в учебный офис до 22.06.2026.

Председатель __________  
Секретарь __________";8.2.2.1.1-03
"ПРОТОКОЛ № 08
заседания ЛЭК по защите выпускной квалификационной работы
ОПБ ""Бизнес-информатика""

ФГАOU ВО ""Национальный исследовательский университет""
Пермский кампус

«19» июня 2026 г.
г. Пермь

Присутствовали:
Председатель ЛЭК: Иванов И.И.
Члены комиссии: Петрова А.С.; Сидоров В.Н.; Кузнецов Е.П.
Секретарь комиссии: Смирнова Т.А.

СЛУШАЛИ:
студента 4 курса направления подготовки Бизнес-информатика

Ф.И.О. __________________________________

Тема:
«Создание системы прогнозирования спроса для интернет-магазина»

Руководитель ВКР: доц. Орлова Е.В.

После выступления были заданы вопросы по качеству данных, модели прогнозирования, ограничениям внедрения.

Комиссия отметила:
работа содержит прикладные результаты и демонстрационный прототип.
Имеются замечания по оформлению таблиц и недостаточной детализации тестирования.

ПОСТАНОВИЛИ:

- признать работу подготовленной к итоговой защите;
- рекомендовать исправить замечания;
- направить на заседание ГЭК;
- предварительная оценка: отлично.

Председатель ЛЭК ______ /Иванов И.И./
Секретарь ЛЭК ______ /Смирнова Т.А./";8.2.2.1.1-03
"Федеральное государственное автономное образовательное учреждение высшего образования
«Национальный исследовательский университет «Высшая школа экономики»»
Пермский кампус

ПРОТОКОЛ № 01/ЛЭК-ВКР

заседания ЛЭК по защите выпускных квалификационных работ
ОПБ «Бизнес-информатика»

г. Пермь
«15» июня 2026 г.

Состав комиссии:

Председатель: Иванов И.И.
Члены комиссии: Петрова А.С., Сидоров В.Н., Кузнецов Е.П.
Секретарь: Смирнова Т.А.

СЛУШАЛИ:

Студента 4 курса направления 38.03.05 Бизнес-информатика
ФИО: Фамилия Имя Отчество

Тема ВКР:

«Разработка системы аналитики клиентских данных для цифровой платформы»

Руководитель: Орлова Е.В., доцент кафедры ИТ

В ходе заседания:

Студент представил доклад, после чего были заданы вопросы по:

методологии исследования (включая частично уточняющие вопросы);
архитектуре разрабатываемой системы;
экономической целесообразности внедрения решения.
Комментарий комиссии:

Работа носит прикладной характер и соответствует тематике образовательной программы.
Отмечается наличие практической реализации и частичной апробации.

Имеются замечания:

требуется уточнение расчета экономической эффективности;
недостаточно подробно раскрыты выводы по результатам анализа.
ПОСТАНОВИЛИ:
Признать ВКР соответствующей требованиям ОП.
Рекомендовать доработку аналитического раздела.
Допустить студента к защите в ГЭК.
Предварительная оценка: хорошо (условно).

Председатель ЛЭК __________ /Иванов И.И./
Секретарь __________ /Смирнова Т.А./";8.2.2.1.1-03
"ФГАОУ ВО «НИУ ВШЭ»
Пермский кампус (факультет СЭКН)

ПРОТОКОЛ ЛЭК № 01 (ВКР / бизнес-информатика)

«15» июня 2026 г.
г. Пермь

1. Присутствующие:

Председатель комиссии — Иванов И.И.
Члены ЛЭК:

Петрова А.С.
Сидоров В.Н.
Кузнецов Е.П.

Секретарь: Смирнова Т.А.

2. Рассматриваемый вопрос:

Защита выпускной квалификационной работы студента 4 курса
направление: 38.03.05 Бизнес-информатика

ФИО студента: Фамилия Имя Отчество

3. Тема ВКР:

«Разработка системы аналитики клиентских данных для цифровой платформы»

Руководитель: Орлова Е.В. (кафедра информационных технологий)

4. Содержание заседания (кратко):

Студент выступил с докладом.
В процессе обсуждения комиссией были заданы уточняющие вопросы, включая:

выбор методологического подхода;
логика построения архитектуры системы;
обоснование экономического эффекта внедрения.
5. Замечания:

Комиссия отмечает:

тема актуальна для цифровой трансформации;
работа содержит реализуемый прототип;
присутствует частичная аналитическая проработка.

Выявлены недостатки:

недостаточная детализация показателей эффективности;
требуется уточнение формулировок выводов (раздел 4 и 5).
6. Решение комиссии:

ПОСТАНОВИЛИ:

считать ВКР соответствующей требованиям программы;
допустить к защите в ГЭК;
рекомендовать устранение замечаний;
предварительная оценка: хорошо / ближе к “+”.

Председатель __________ /Иванов И.И./
Секретарь __________ /Смирнова Т.А./";8.2.2.1.1-03
"Федеральное государственное автономное образовательное учреждение высшего образования
«Национальный исследовательский университет «Высшая школа экономики»» (Пермь)

ПРОТОКОЛ № 01 ЛЭК (ВКР)

ОП «Бизнес-информатика»
г. Пермь
15.06.2026

СОСТАВ:

Председатель ЛЭК: Иванов И.И.
Члены: Петрова А.С., Сидоров В.Н., Кузнецов Е.П.
Секретарь: Смирнова Т.А.

СЛУШАЛИ:

Студента 4 курса
направление 38.03.05 Бизнес-информатика

ФИО: Фамилия Имя Отчество

ТЕМА:

«Разработка системы аналитики клиентских данных для цифровой платформы»

Руководитель ВКР: Орлова Е.В.

ВОПРОСЫ К СТУДЕНТУ:
Методология исследования (уточнение подхода).
Архитектура программного решения (логические уровни).
Экономическое обоснование внедрения системы.
ОТМЕЧЕНО КОМИССИЕЙ:

Работа выполнена в целом на достаточном уровне.
Имеет прикладную направленность, частично реализован программный прототип.

Отдельно отмечено:

соответствие тематике ОП;
наличие аналитической части;
необходимость уточнения экономической эффективности (раздел 3.2–3.4 условно).
ПОСТАНОВИЛИ:
ВКР соответствует требованиям ОП.
Рекомендовать доработку аналитического блока.
Допустить к защите в ГЭК.
Предварительная оценка: хорошо.

Председатель ЛЭК __________ /Иванов И.И./
Секретарь ЛЭК __________ /Смирнова Т.А./";8.2.2.1.1-03
"Федеральное государственное автономное образовательное учреждение высшего образования
«Национальный исследовательский университет «Высшая школа экономики» (Пермь)

ПРОТОКОЛ № 01-ЛЭК / ВКР (черновая версия оформления)

ОП «Бизнес-информатика»
г. Пермь
15.06.2026

СОСТАВ КОМИССИИ (условно фиксированный)

Председатель: Иванов И.И.
Члены комиссии: Петрова А.С., Сидоров В.Н., Кузнецов Е.П., (резерв: не задействован)
Секретарь: Смирнова Т.А.

1. ОБСУЖДАЕМЫЙ ОБУЧАЮЩИЙСЯ

ФИО: Фамилия Имя Отчество
Курс: 4
Направление: 38.03.05 Бизнес-информатика

2. ТЕМА ВКР (в рабочей формулировке)

«Разработка системы аналитической обработки клиентских данных для цифровой платформы (prototype-level)»

Руководитель: Орлова Е.В.

3. ВОПРОСЫ К ДОКЛАДЧИКУ (с элементами уточнений)
выбранная методология исследования (обоснование выбора подхода);
архитектура системы (уровни + взаимодействие модулей);
экономическая модель внедрения (условная оценка эффекта).
4. ЗАМЕЧАНИЯ КОМИССИИ (частично формализованные)

Отмечено, что работа:

соответствует профилю образовательной программы;
содержит аналитический блок (средней глубины детализации);
имеет прототип (неполная функциональность).

Дополнительно зафиксировано:

требуется уточнение разделов экономической эффективности (условные подпункты 3.x);
недостаточно раскрыта часть сравнения альтернативных решений.
5. ПОСТАНОВЛЕНИЕ
ВКР признать соответствующей требованиям ОП;
рекомендовать доработку аналитической и экономической частей;
допустить к защите в ГЭК (без ограничений);
предварительная оценка: хорошо (условно подтверждено).

Председатель ЛЭК __________ /Иванов И.И./
Секретарь ЛЭК __________ /Смирнова Т.А./";8.2.2.1.1-03
